1.1.0.0.0.1; ; Глава 1; 1, 4; 1; ;
1.1.0.1.0.1; ; Менеджмент: цели и задачи; 1, 1, 5, 1; 0,5; ;
1.1.0.1.1.1; ; Перед вами книга о роли маркетинга и маркетинговой стратегии в успешном развитии фирмы; 5, 1, 1, 5, 1, 1, 5, 1, 5, 3, 1, 1; 0,6; ;
1.1.0.1.1.2; ; Маркетинг и управление стратегией - инструменты достижения предприятием поставленных целей; 1, 5, 1, 1, 1, 1; 0,66; ;
1.1.0.1.1.3; ; В первой главе рассматриваются цели фирмы и ее менеджеров; 5, 4, 1, 2, 1, 1, 5, 2, 1; 0,59; ;
1.1.0.1.1.4; ; Каждой организации важно уметь правильно поставить перед собой цели и задачи; 3, 1, 3, 2, 3, 2, 5, 1, 1, 5, 1; 0,42; ;
1.1.0.1.1.5; ; Именно они будут определять ценности, направления деятельности, возможности и критерии; 5, 1, 2, 1, 1, 1, 5, 1; 0,34; ;
1.1.0.1.1.6; ; Ценности, направления деятельности, возможности и критерии используются для оценки эффективности работы и поощрения сотрудников; 1,1, 1, 5, 1, 2, 5, 1, 5, 1; 0,78; ;
1.1.0.1.2.1; ; Руководители компаний недостаточно серьезно подходили к вопросу определения целей организации; 1, 1, 3, 2, 5, 1, 1, 1, 1; 0,78; ;
1.1.0.1.2.2; ; Несерьёзный подход повлек за собой снижение конкурентоспособности на международном уровне и «отступление» с занятых рыночных позиций; 3, 1, 2, 5, 5, 1, 1, 5, 1, 5, 1, 1, 5, 3, 1, 1; 0,4; ;
1.1.0.1.2.3; ; Менеджеры должны разработать комплекс взаимосвязанных целей и задач компании, а не несколько показателей рентабельности деятельности фирмы и ее роста; 1, 2, 1, 3, 1, 5, 1, 1, 5, 5, 4, 1, 1, 1, 1, 5, 5, 1; 0,79; ;
1.1.0.1.2.4; ; Необходимость интегрированных целей и задач объясняется потребностью в ориентации фирмы на удовлетворение запросов различных заинтересованных групп; 1, 1, 1, 5, 1, 2, 1, 5, 1, 1, 5, 1, 1, 3, 1, 1; 0,35; ;
1.1.0.1.2.5; ; Основная задача руководителя - постановка целей; 3, 1, 1, 1, 1; 0,74; ;
1.1.0.1.2.6; ; Цели отвечают интересам сторон; 1, 2, 1, 1; 0,28; ;
1.1.0.1.2.7; ; От сторон зависит жизнеспособность фирмы: клиентов, акционеров, менеджеров, сотрудников и общества; 5, 1, 2, 1, 1, 1, 1, 1, 1, 5, 1; 0,23; ;
